Stack 				 input 						 output 
METHOD_BODY $ 	int id ; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	METHOD_BODY=>STATEMENT_LIST
STATEMENT_LIST $ 	int id ; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	STATEMENT_LIST=>STATEMENT STATEMENT_LIST`
STATEMENT STATEMENT_LIST` $ 	int id ; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	STATEMENT=>DECLERATION
DECLERATION STATEMENT_LIST` $ 	int id ; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	DECLERATION=>PRIMITIVE_TYPE 'id' ';'
PRIMITIVE_TYPE 'id' ';' STATEMENT_LIST` $ 	int id ; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	PRIMITIVE_TYPE=>'int'
'int' 'id' ';' STATEMENT_LIST` $ 	int id ; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	match 'int'
'id' ';' STATEMENT_LIST` $ 	id ; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	match 'id'
';' STATEMENT_LIST` $ 	; while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	match ';'
STATEMENT_LIST` $ 	while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	STATEMENT_LIST`=>STATEMENT STATEMENT_LIST`
STATEMENT STATEMENT_LIST` $ 	while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	STATEMENT=>WHILE
WHILE STATEMENT_LIST` $ 	while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	WHILE=>'while' '(' EXPRESSION ')' '{' STATEMENT '}'
'while' '(' EXPRESSION ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	while ( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	match 'while'
'(' EXPRESSION ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	( id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	match '('
EXPRESSION ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	EXPRESSION=>SIMPLE_EXPRESSION EXPRESSION`
SIMPLE_EXPRESSION EXPRESSION` ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	SIMPLE_EXPRESSION=>TERM SIMPLE_EXPRESSION`
TERM SIMPLE_EXPRESSION` EXPRESSION` ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	TERM=>FACTOR TERM`
FACTOR TERM` SIMPLE_EXPRESSION` EXPRESSION` ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	FACTOR=>'id'
'id' TERM` SIMPLE_EXPRESSION` EXPRESSION` ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	id relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	match 'id'
TERM` SIMPLE_EXPRESSION` EXPRESSION` ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	TERM`=>\L
SIMPLE_EXPRESSION` EXPRESSION` ')' '{' STATEMENT '}' STATEMENT_LIST` $ 	relop num ) { id = id addop num } if ( id relop num ) { id = id addop num ; } else { id = id addop id ; } $ 	SIMPLE_EXPRESSION`=>\L
